"gene_id","sample_1","sample_2","sample_3","sample_4","sample_5","sample_6","sample_7","sample_8","sample_9","sample_10","sample_11","sample_12","sample_13","sample_14","sample_15","sample_16","sample_17","sample_18","sample_19","sample_20","sample_21"
"ENSG00000223972.5",0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0
"ENSG00000227232.5",51,25,13,66,64,32,78,39,16,122,51,20,187,101,93,64,16,49,51,38,25
"ENSG00000278267.1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSG00000243485.5",0,2,0,0,0,0,1,0,0,0,1,1,0,0,2,0,0,1,1,0,0
"ENSG00000237613.2",0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0
"ENSG00000268020.3",1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,1,0,0,3
"ENSG00000240361.1",1,4,1,0,1,0,0,0,2,1,1,2,0,0,1,1,1,1,0,1,3
"ENSG00000186092.4",2,0,2,0,0,4,0,1,4,1,2,3,0,1,1,0,2,5,0,2,0
"ENSG00000238009.6",2,0,2,2,0,0,2,2,0,5,1,2,23,3,5,1,1,1,1,0,0
"ENSG00000233750.3",27,1,5,34,0,3,10,0,4,26,1,5,6,0,1,37,0,1,3,0,0
"ENSG00000268903.1",252,9,34,520,8,13,204,5,4,137,10,24,239,3,16,500,5,6,110,1,32
"ENSG00000269981.1",278,7,20,463,12,15,115,7,0,134,4,17,211,1,8,421,7,5,95,3,14
"ENSG00000239906.1",6,0,3,13,0,0,0,0,1,8,0,0,1,0,0,16,0,0,0,0,0
"ENSG00000241860.6",45,1,4,52,25,23,39,14,10,32,17,12,10,7,12,115,0,8,10,7,4
"ENSG00000222623.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000241599.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000279928.2",1,0,0,6,2,3,0,0,2,4,2,3,0,0,1,0,0,1,1,0,3
"ENSG00000279457.4",90,32,32,274,106,57,165,122,50,180,120,59,323,129,103,340,82,124,287,110,105
"ENSG00000273874.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000228463.9",38,18,31,82,0,7,12,23,12,20,10,9,28,83,42,83,20,37,6,26,15
"ENSG00000236679.2",1,0,0,2,1,0,1,0,1,1,1,3,0,0,0,0,0,0,1,0,0
"ENSG00000236743.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000236601.2",0,1,0,0,2,0,0,1,0,2,0,1,0,0,2,1,1,1,0,0,1
"ENSG00000237094.11",52,15,22,33,10,11,22,9,3,16,4,4,9,4,8,19,6,23,20,10,25
"ENSG00000269732.1",1,0,0,1,0,1,1,0,0,1,0,1,1,0,3,0,2,2,0,0,2
"ENSG00000278566.1",0,0,4,1,1,1,1,1,2,0,1,1,0,1,5,0,4,3,0,0,4
"ENSG00000233653.3",2,1,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,0,4,0,2
"ENSG00000250575.1",1,0,0,1,1,0,3,1,0,4,2,0,0,0,1,2,0,0,0,0,0
"ENSG00000278757.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000230021.8",2,3,4,2,1,3,2,1,4,7,2,0,0,0,5,3,2,5,5,3,4
"ENSG00000235146.2",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"ENSG00000225972.1",69,117,241,82,119,185,60,123,537,80,150,149,14287,63869,66506,63,63,149,124,166,410
"ENSG00000225630.1",7919,23061,37893,10489,23980,48872,8787,24142,82139,9873,22442,50331,7596,28256,20355,5700,12308,27766,8772,12129,60637
"ENSG00000237973.1",1375,5199,10971,1822,3358,11495,2794,3402,13002,1459,5414,10701,42591,118353,147368,1197,2776,10911,1231,4801,54307
"ENSG00000229344.1",191,383,719,250,238,529,129,299,4933,206,433,885,149,318,319,150,193,656,222,299,1028
"ENSG00000240409.1",47,104,353,75,127,197,30,143,248,64,56,218,73,157,165,39,74,122,78,96,733
"ENSG00000248527.1",32048,87901,195361,38222,78640,166636,24290,96917,254377,32502,107448,212278,48880,165382,152803,23909,50428,183155,30887,82411,395005
"ENSG00000198744.5",167,414,2998,164,198,533,91,243,8687,149,280,788,716,1938,360,93,490,524,195,288,8438
"ENSG00000268663.1",0,1,1,0,0,0,1,1,2,0,1,0,0,1,2,0,0,0,1,0,2
"ENSG00000273547.1",1,2,1,0,0,1,1,1,1,5,1,2,0,0,4,1,1,2,1,3,2
"ENSG00000283574.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229376.3",4,3,11,6,9,6,5,5,10,4,3,8,3,6,16,3,9,10,4,4,17
